,ProofType,Algorithm,CoinName,PC 1,PC 2,PC 3,class
LIZ,PoW/PoS,Skein,Lizus Payment,-0.41093663338769343,1.9521511151308097,-0.22353294748666871,0
CIF,PoW,X11,Crypto Improvement Fund,-0.20343318727726079,-0.916278385295835,-0.009938284815806822,1
SPD,PoW/PoS,C11,Stipend,-0.34193228153876903,0.9557368165734631,-0.13865889823001687,0
POA,PoA,Proof-of-Authority,Poa Network,-0.5327192124275003,2.830258765687253,-4.216486311305835,0
PUSHI,PoW/PoS,X11,Pushi,-0.37475048092229185,1.2956420464742497,-0.18373594323800996,0
ELP,PoW/PoS,XEVAN,Ellerium,-0.22558381054012847,1.4973328395944199,-0.14295308625408085,0
VLX,PoS,Scrypt,Velox,-0.27828886967015826,0.7977382038629778,-0.08579064373522494,0
ONT,PoS,VBFT,Ontology,-0.32717052652466694,1.300998036211021,-0.09523459892116473,0
CLO,PoW,Ethash,Callisto Network,-0.08128133164596098,-2.1058078597155507,0.11842189519386388,1
TUBE,PoW,CryptoNight,BitTube,0.3106976477328335,-2.3480240134284918,0.13423819239003323,1
PSD,PoW,Scrypt,Poseidon,-0.16144996469051265,-1.0762052971937124,0.011937942706626696,1
MANNA,PoW,SHA-256,Manna,-0.04160422555682626,-1.3407713182476622,0.056082063198430565,1
ADK,PoW,IMesh,Aidos Kuneen,-0.17544486084965197,-2.28457658384438,0.13294398868784155,1
SERA,PoW/PoS,PHI1612,Seraph,-0.3684345799880926,1.401607425421068,-0.12276936984232055,0
CMOS,PoW,Quark,Cosmo,-0.23290150735410362,-0.6086288829505271,0.05448751032564701,1
BSX,PoW/PoS,NIST5,Bitspace,-0.35606026327828616,1.5752072586622603,-0.1821451617161402,0
BRIA,PoW/PoS,Scrypt,Briacoin,-0.3267742505678137,1.13559654664089,-0.1619357864760484,0
IC,PoW/PoS,Scrypt,Ignition,-0.3267552151834141,1.135595779806552,-0.16193595881634684,0
BTL,PoW,Equihash,Bitrolium,-0.16177040763996708,-2.123422843755755,0.18101557201471866,1
MEDIC,PoS,Scrypt,MedicCoin,-0.27243685534667206,0.7976723809642023,-0.08587379872766779,0
ALPS,PoW,Lyra2Z,Alpenschillling,-0.0818593647865333,-1.9164036117642125,0.08172962757557818,1
BITG,PoS,Green Protocol,Bitcoin Green,-0.32409086426696243,1.3185901349053772,-0.06592280728920905,0
DEV,PoS,PoS,Deviant Coin,-0.32707364857953836,1.3765074401758344,-0.13119540688082088,0
ABJ,PoW/PoS,Scrypt,Abjcoin,-0.3264600524028989,1.1355881662427438,-0.16193939057277865,0
RAP,PoW,NeoScrypt,Rapture,-0.18283770412296532,-1.631111536937163,0.06267745243069496,1
